Ano,Enunciado,Alternativa_A,Alternativa_B,Alternativa_C,Alternativa_D,Alternativa_E,Area_de_Conhecimento
2020,bienalsur una invitación cruz la front ded señal acus vem estación tren muse puert vent vidri quién fue grit silenci obr graciel sacc ése intimid títul eleg artist rosarin proyect con particip prim edición bienalsur est sol uno 300 coleg cur sumarán má 30 ciudad 16 país ambici inici impuls desd buen air bien intent una herramient integración region dij nacion direc gener aníb jozam rec universidad nacion tre febrer untref inspiró la memor jean monnet consider uno lo padr unión europe dij unión europe hubi empez una integración cult lug económ result hubi sid much mej agregó uno lo obje bienalsur cre canal comunicación permitan gent sentirs part mism circuit dispon wwwlanacioncom acess 24 ago 2017 artist vár part mund expõ obr event celebr art bienalsur conson text podes constat event artíst,nov cri propósit dea apont divers obr artíst expost buen air,inspir transform econôm política país europ,acus artist expõ obr local pouc tradic,promov social difer artist popul geral,realiz expos artíst sobr event espor jog olímp,Linguagens
2020,españ corazón feder dim una gran sorpr hab prepar discurs alimón usted probabl saben signif esa palabr tampoc sabí feder estab siempr llen invencion ocurrenc explicó torer pueden tore mism tiemp mism tor con únic capot una la prueb má peligr del art taurin eso muy poc vec má tre vec sigl sól pueden hacerl torer sean herm menos tengan sangr común est llam tore alimón est har discurs est hic per nadi sabí cu levant agradec presid del pen club ofrecimient del banquet levant mism tiemp cual torer sol discurs nerud señ lorc señ exist fiest lo tor una suert llam tore del alimón torer hurtan cuerp tor cog mism cap nerud feder amarr alambr eléctr vam pare respond recepción muy decis nerud confies viv buen air delbolsill 2004 text escri pabl nerud narr episódi vivenci escri,eder garcí lorc ness episódi uso express alimón remet aoà duel trav escri tal tour tour,admir tour manifest discurs escri,surpr discurs escri receb públic,conhec escri acerc tradic tour espanhol,perspicác escri discurs inspir form tour,Linguagens
2020,dispon httpinversorsaludcom acess 18 ago 2017 ness campanh contr mosquit transmis zik deng chikunguny enunci dirig leit,condicionando exerc ativ comunitár,ora incluindos açõ ora ordenando inform,ora instruindo ato ora reprimindo falh,adicion voz post diverg açõ mor,impondos voz autoridad órg governament,Linguagens
2020,lo orígen habit expresíon che hay alg má argentin expresión che much afirmarían hech che sinón argentin sin embarg la continu ole migrat recibió país final del sigl xix comienz del dan origen má complej valenc ubic cost mediterráne español conoc tierr lo che muy probabl expresión viaj con lo emigr llegaron argentin 1857 1935 cas tre millon español arribaron buen air coment filólog histori iné celay che obst hij con vari padr algun filólog itali reclaman paternidad sitúan nacimient venec cun del cocolich dialect transmitió much palabr lunfard jerg nació lo bar bonaer 1814 1970 llegaron argentin uno seil millon emigr itali siend comunidad europe má grand del país otr verti del che posibl origen la comunidad indígen del nort argentin guaraní che signif también utiliz poses cualqui cas che una palabr err cruz cult océan sól form part hist del mediterráne sin del con sur amér detall celay dispon wwwlanacioncom acess 8 jul 2015 adapt text trat orig express che cas espanhol argentin,xpress reflet quant imigr usu vocábul,perspec filólog uso dess palavr,identific argentin palavr che,divers form dess variedad castelh,impos língu espanhol sobr língu indígen,Linguagens
2020,habl con acent andaluz telediari la 9 hac uno día salió public obisp salamanc ped la hermandad seman sant eviten us expresion andaluz dur la procesion arguy suenan mal aunqu una notic aparent local sin otr interé segu lo cotille lo cofrad capillit salmantin ciert recog uno lo estereotip lingüís má extend mal hablan lo andaluc lo habl percib subjetiv acent buen mal suel product influenc cult del pod recalcitr dejaron ciert region históric hegemón habl castill convirtió prestigi porqu form habl prop del lug dond emanab pod acent clas domin pasó ten prestigi soc convirtió ojo del conjunt lo habl deseabl mientr la form habl la zon alej lo centr pod pasaron consider provinci prop gent pobr incult televisión tien enorm pod representación normalización cult refi mism man esper televisión públic recoj lo distint interes sensibil población serí muy deseabl ver reflej celebr tod aban diversidad lingüís sociedad viv abandon una vez monocul del castell centr cop nuestr pantall hoy día andalucí buen día reclamarl mell dispon wwweldiario acess 18 ago 2017 text discut proib express andaluz prociss telejorn 9,ora acord discuss autor defend soberan fal sobr outr,estranh percep fal andaluz,lut andaluz divers linguís,hegemon sotaqu bas prestígi soc,vis estereotip própri andaluz acerc fal,Linguagens
2020,carroç caval contas noit fri invern desc fort nevo traz mar ness noit ouviams muit barulh estranh mor cidad francisc cidad antig sant catarin acord madrug barulh perturb abr janel cas mor assustavams cen vi carroç and caval ninguém pux and so carroç hav objet barulhent panel bul inclusiv algum objet amarr lad carroç med domin pequen cidad contas aind carroc mort coic caval maltrat animal noit manifest assombr carroç saí nevo assust popul temp volt desaparec nevo dispon wwwgazetaonlinecombr acess 12 dez 2017 adapt considerandos divers gêneros circul sociedad cumpr função,ocial específ text função abord histór real,inform acontec,quest crenç popul,narr histór imagin soc,situ fat inter sociedad,Linguagens
2020,lei poster pátri rio vers nom celebr vej hor despert son vil esquec fri vê marg sombri fresc assent ál cop vê ninf cant past gad tard cl calm esti turv banh pál are porç riqu tesour vast camp amb recre rai planet lour enriquec influx vei quant cham fecund brot our cost obr poé glauc satúrni dispon wwwdominiopublicogovbr acess 8 out 2015 concepç árcad cláudi manuel cost registr sinal context histór reflet sonet líric,busc reconhec liter ger futur,contempl sent cumplic natur pastorei,lament efeit produz ato cobiç indiferenç,encontr simplic imag express equilíbri ra,recorr element mitológ cultura cláss símbol terr,Linguagens
2020,dispon wwwhospitalalbertorassiorgbr acess 13 dez 2017 adapt considerandos element constitu text anúnci vis resolv problem relacion aoà,falt cuid mei ambi,uso indiscrimin font energia,escass águ divers pont planet,car med control polu ambient,aus açõ recicl objet descart,Linguagens
2020,masculin assim feminil construç histór cult cultura danç caracterizas sent geral univers predomin feminin hom danç geral consider homossex enquadr dentr norm cult hegemôn gêner sexual outr lad demonstr exist únic tip masculin enfatiz ident human múltipl plur context danç represent hegemôn gêner regul soc impõ manifest form igual tod modal danç pers fort represent cult ocident assoc balé feminil homossexual outr danç revel tão fort hom aparec men númer tradic danç folclór modern hip hop andreol represent masculin danç contemporâne mov 1 2011 adapt,tang ident gêner masculin danç modal express oaa padron inserç hom ness manifest corpor,identific prát regul únic masculin,reconhec difer masculin,contest norm soc balé,reforç feminil hegemôn,Linguagens
2020,pont mort prim mulh divorci terc marid segund mulh acab cas melhor amig terc quart detest filh prim cas vez suport filh terc cas prim mulh confess guard afet exsogr so filh acen mim mei engarraf memór demor engat nom segund vid par pont mort mass vid err rio jan 7letr 2001,poem singular situ represent efeit correl entre dissip ident circul sujeit anôn,relaç famili dinâm vid espaç urban,constat incomunic solid human,trânsit caó imped express afet,lug parent estranh soc,Linguagens
2020,influ comunic flux migratóri denis cog dou comunic discut relaç tecnolog digit migr mund especi grand part represent experi conhec imigr cheg míd míd medi relaç explic imigr sujeit econôm explic cog sujeit sociocult portant comunic integr trajetór migr dentr process histór desd planej estud polít migratór país destin contat amig famili encontr flux migratóri tecnolog digit traz nov perspec sujeit abr possibil celul mão própri imigr poss narr histór constru nov caminh analis dispon httpoperamundiuolcombr acess 6 dez 2017 adapt traz nov perspec acion sujeit escrit histór text,present vis posi sobr presenç das economia form cult sujeit,manifest isol process migr,narr ofic sobr nov flux migratóri,abord midiá trat inform,tecnolog digit form construç real,Linguagens
2020,pessoal intransfer escut chap poet faz vers risc sempr perig med invent perig sempr recri dificuldad menos mai destru lingu explod nad bols mão sab perig divin maravilh poet simpl doi doi quatr sei vid val pen etc difícil corr vers debaix braç difícil cort cabel barr pes difícil pra poet tra poesia pens bem nad sempr pront tem tud menos ridícul declam vers sorrid sair aind cim sorrid mestr cerimôn herd poesia lev cois fim continu lev graç deu fiqu sab arrisc pod berr cit lev hom boi matadour berr hor perig hom boi adeus torquat net melhor poem torquat net paul glob 2018expo poesia produz brasil déc 1970 autor compos represent tropicál torquat net mobiliz ness text gír express coloqu critic lingu adorn trad literár ent vigent intenç satír humorís delin concepç poesia volt felic leit fras efeit interpel leit ironiz tent adequ,oem gost públic,recurs escrit pros noç sens comum enfa dificuldad,nerent trabalh poet,refer intertext anedó defend import atitud,estem ant risc cri poé,Linguagens
2020,dispon wwwcomunicaquemudacombr acess 9 dez 2017 fim contribu diminu númer acid trânsit campanh,proíb uso remédi evit son direç,dic motor sobr diminu cans físic,apresent capot consequ direç perig,atribu motor respons seguranç trânsit,conscientiz motor sobr necess control veloc estr,Linguagens
