Ano,Enunciado_Alternativas,Area_de_Conhecimento
2020,"Bienalsur: una invitación a cruzar las fronteras Un dedo nos señala, acusador. Lo vemos en la estación de tren, en el museo, en puertas, ventanas y vidrieras. ¿Quién fue? , grita en silencio la obra de Graciela Sacco. Ése es el intimidante título elegido por la artista rosarina para este proyecto, con el que participará de la primera edición de Bienalsur. No estará sola: unos 300 colegas y curadores se sumarán en más de 30 ciudades de 16 países a esta ambiciosa iniciativa impulsada desde Buenos Aires. ""La bienal intenta ser una herramienta de integración regional"", dijo a LA NACION su director general, Aníbal Jozami. El rector de la Universidad Nacional de Tres de Febrero (Untref) se inspiró en las memorias de Jean Monnet, considerado uno de los ""padres"" de la Unión Europea. ""Él dijo que si la Unión Europea hubiera empezado por una integración cultural en lugar de económica, el resultado hubiera sido mucho mejor − agregó −. Uno de los objetivos de Bienalsur es crear canales de comunicación que permitan a la gente sentirse parte de un mismo circuito."" Disponível em: www.lanacion.com.ar. Acesso em: 24 ago. 2017. Artistas em várias partes do mundo expõem suas obras em eventos que celebram a arte, como a Bienalsur. Em consonância com o texto, pode-se constatar que esse evento artístico inovador foi criado com o propósito deA apontar as diversas obras artísticas expostas em Buenos Aires. B inspirar as transformações econômica e política de países europeus. C acusar artistas que expõem suas obras em locais pouco tradicionais. D promover a socialização entre diferentes artistas e a população em geral. E realizar exposições artísticas sobre eventos esportivos como os Jogos Olímpicos.",Linguagens
2020,"España en el corazón Como era Federico Dimos una gran sorpresa. Habíamos preparado un discurso al alimón. Ustedes probablemente no saben lo que significa esa palabra y yo tampoco lo sabía. Federico, que estaba siempre lleno de invenciones y ocurrencias, me explicó: ""Dos toreros pueden torear al mismo tiempo el mismo toro y con un único capote. Esta es una de las pruebas más peligrosas del arte taurino. Por eso se ve muy pocas veces. No más de dos o tres veces en un siglo y sólo pueden hacerlo dos toreros que sean hermanos o que, por lo menos, tengan sangre común. Esto es lo que se llama torear al alimón. Y esto es lo que haremos en un discurso."" Y esto es lo que hicimos, pero nadie lo sabía. Cuando nos levantamos para agradecer al presidente del Pen Club el ofrecimiento del banquete, nos levantamos al mismo tiempo, cual dos toreros, para un solo discurso. NERUDA: Señoras... LORCA: ...y señores: Existe en la fiesta de los toros una suerte llamada ""toreo del alimón"", en que dos toreros hurtan su cuerpo al toro cogidos de la misma capa. NERUDA: Federico y yo, amarrados por un alambre eléctrico, vamos a parear y a responder esta recepción muy decisiva. NERUDA, P. Confieso que he vivido . Buenos Aires: Delbolsillo, 2004. No texto, o escritor Pablo Neruda narra um episódio vivenciado com o também escritor Federico García Lorca. Nesse episódio, o uso da expressão “ al alimón ” remete ao(à)A duelo travado entre os escritores, tal como entre touro e toureiro. B admiração pelas touradas, manifesta no discurso dos escritores. C surpresa com que o discurso dos escritores foi recebido pelo público. D conhecimento dos escritores acerca da tradicional tourada espanhola. E perspicácia dos escritores em discursar inspirados em uma forma de tourear .",Linguagens
2020,"Disponível em: http://inversorsalud.com.ar. Acesso em: 18 ago. 2017. Nessa campanha contra o mosquito transmissor da zika, da dengue e da chikungunya, o enunciador se dirige ao leitor, A condicionando-o a exercer atividades comunitárias. B ora incluindo-se nas ações, ora ordenando-o informalmente. C ora instruindo-o em seus atos, ora reprimindo-o em suas falhas. D adicionando vozes e posturas divergentes às ações dos moradores. E impondo-se como voz de autoridade de um órgão governamental.",Linguagens
2020,"Los orígenes de la habitual expresíon ¡che! ¿Hay algo más argentino que la expresión ""che""? Muchos afirmarían que no, que de hecho ""che"" es sinónimo de argentino. Sin embargo, las continuas oleadas migratorias que recibió el país a finales del siglo XIX y comienzos del XX le dan un origen más complejo. A Valencia, ubicada en la costa mediterránea española, se le conoce como la tierra de los ""che"". ""Es muy probable que la expresión viajara con los emigrantes que llegaron a Argentina. Entre 1857 y 1935 casi tres millones de españoles arribaron a Buenos Aires"", comenta la filóloga e historiadora Inés Celaya. El ""che"", no obstante, es un hijo con varios padres. Algunos filólogos italianos reclaman la paternidad y sitúan su nacimiento en Venecia, cuna del ""cocoliChe"", un dialecto que transmitió muchas palabras al lunfardo, la jerga que nació en los bares bonaerenses. De 1814 a 1970 llegaron a Argentina unos seis millones de emigrantes italianos, siendo la comunidad europea más grande del país. Otra vertiente del ""che"" es su posible origen en las comunidades indígenas del norte de Argentina. En guaraní ""che"" significa ""yo"" y también se utiliza como el posesivo ""mi"". ""En cualquier caso el 'che' es una palabra errante, que ha cruzado culturas y océanos. Ya no sólo forma parte de la historia del Mediterráneo sino del cono sur de América"", detalla Celaya. Disponível em: www.lanacion.com.ar. Acesso em: 8 jul. 2015 (adaptado) . O texto trata da origem da expressão “ che”. No caso do espanhol da Argentina, essa expressão reflete aA quantidade de imigrantes usuários do vocábulo. B perspectiva da filóloga para o uso dessa palavra. C identificação dos argentinos com a palavra “ che”. D diversidade na formação dessa variedade do castelhano. E imposição da língua espanhola sobre as línguas indígenas.",Linguagens
2020,"No hablarás con acento andaluz en el telediario de las 9 Hace unos días salió publicado que el obispado de Salamanca ha pedido a las hermandades de Semana Santa que eviten usar expresiones andaluzas durante las procesiones arguyendo que ""suenan mal"". Aunque es una noticia aparentemente local y sin otro interés que el de seguir los cotilleos de los cofrades y capillitas salmantinos, lo cierto es que recoge uno de los estereotipos lingüísticos más extendidos: lo mal que hablan los andaluces. Lo que los hablantes percibimos subjetivamente como acentos buenos y malos suele ser producto de la influencia cultural y del poder recalcitrante que dejaron ciertas regiones históricamente hegemónicas. El habla de Castilla se convirtió en la de prestigio porque era la forma de hablar propia del lugar de donde emanaba el poder. El acento de la clase dominante pasó a tener prestigio social y se convirtió a ojos del conjunto de los hablantes en deseable, mientras que las formas de hablar de las zonas alejadas de los centros de poder pasaron a ser consideradas provincianas y propias de gentes pobres e incultas. La televisión tiene un enorme poder en lo que a representación y normalización cultural se refiere. De la misma manera que esperamos que la televisión pública recoja los distintos intereses y sensibilidades de la población, sería muy deseable ver reflejado y celebrado todo el abanico de diversidad lingüística de la sociedad en que vivimos y abandonar de una vez el monocultivo del castellano central que copa nuestras pantallas. Y hoy, día de Andalucía, es un buen día para reclamarlo. MELLADO, E. A. Disponível em: www.eldiario.es. Acesso em: 18 ago. 2017. O texto discute a proibição de expressões andaluzas nas procissões e no telejornal das 9 horas. De acordo com essa discussão, o autor defende aA soberania de um falar sobre o outro. B estranheza perceptiva do falar andaluz. C luta dos andaluzes pela diversidade linguística. D hegemonia de um sotaque com base no prestígio social. E visão estereotipada dos próprios andaluzes acerca de seu falar.",Linguagens
2020,"A carroça sem cavalo Conta-se que, em noites frias de inverno, descia um forte nevoeiro trazido pelo mar e, nessa noite, ouviam-se muitos barulhos estranhos. Os moradores da cidade de São Francisco, que é a cidade mais antiga de Santa Catarina, eram acordados de madrugada com um barulho perturbador. Ao abrirem a janela de casa, os moradores assustavam-se com a cena: viam uma carroça andando sem cavalo e sem ninguém puxando... Andava sozinha! Na carroça, havia objetos barulhentos, como panelas, bules, inclusive alguns objetos amarrados do lado de fora da carroça. O medo dominou a pequena cidade. Conta-se ainda que um carroceiro foi morto a coices pelo seu cavalo, por maltratar o animal. Nas noites de manifestação da assombração, a carroça saía de um nevoeiro, assustava a população e, depois de um tempo, voltava a desaparecer no nevoeiro. Disponível em: www.gazetaonline.com.br. Acesso em: 12 dez. 2017 (adaptado). Considerando-se que os diversos gêneros que circulam na sociedade cumprem uma função social específica, esse texto tem por funçãoA abordar histórias reais. B informar acontecimentos. C questionar crenças populares. D narrar histórias do imaginário social. E situar fatos de interesse da sociedade.",Linguagens
2020,"Leia a posteridade, ó pátrio Rio,          Em meus versos teu nome celebrado,         Por que vejas uma hora despertado          O sono vil do esquecimento frio:          Não vês nas tuas margens o sombrio,         Fresco assento de um álamo copado;         Não vês ninfa cantar, pastar o gado         Na tarde clara do calmoso estio.        Turvo banhando as pálidas areias          Nas porções do riquíssimo tesouro         O vasto campo da ambição recreias.          Que de seus raios o planeta louro         Enriquecendo o influxo em tuas veias,          Quanto em chamas fecunda, brota em ouro. COSTA, C. M. Obras poéticas de Glauceste Satúrnio .  Disponível em: www.dominiopublico.gov.br. Acesso em: 8 out. 2015. A concepção árcade de Cláudio Manuel da Costa registra sinais de seu contexto histórico, refletidos no soneto por um eu lírico que A busca o seu reconhecimento literário entre as gerações futuras. B contempla com sentimento de cumplicidade a natureza e o pastoreio. C lamenta os efeitos produzidos pelos atos de cobiça e pela indiferença. D encontra na simplicidade das imagens a expressão do equilíbrio e da razão. E recorre a elementos mitológicos da cultura clássica como símbolos da terra.",Linguagens
2020,"Disponível em: www.hospitalalbertorassi.org.br. Acesso em: 13 dez. 2017 (adaptado). Considerando-se os elementos constitutivos do texto, esse anúncio visa resolver um problema relacionado ao(à) A falta de cuidado com o meio ambiente. B uso indiscriminado de fontes de energia. C escassez de água em diversos pontos do planeta. D carência de medidas de controle de poluição ambiental. E ausência de ações de reciclagem de objetos descartáveis.",Linguagens
2020,"A masculinidade, assim como a feminilidade, é uma construção histórica e cultural. Em nossa cultura, a dança caracteriza-se, no sentido geral, como um universo predominantemente feminino. Homens que dançam são geralmente considerados homossexuais, por não se enquadrarem dentro das normas culturais hegemônicas de gênero e sexualidade. Por outro lado, demonstram a não existência de um único tipo de masculinidade, enfatizando que as identidades humanas são múltiplas e plurais. No contexto da dança, as representações hegemônicas de gênero e as regulações sociais que essas impõem não se manifestam de forma igual em todas as modalidades de dança. Persiste essa forte representação cultural ocidental que associa o balé à feminilidade e à homossexualidade. Em outras danças, ela não se revela tão forte, e os homens não aparecem em menor número, como nas tradicionais danças folclóricas ou no moderno hip hop. ANDREOLI, G. S. Representações de masculinidade na dança contemporânea. Movimento , n. 1, 2011 (adaptado). No que tange à identidade de gênero masculina, a dança e suas modalidades expressam o(a)A padronização da inserção dos homens nessas manifestações corporais. B identificação de como essas práticas regulam uma única masculinidade. C reconhecimento das diferentes masculinidades. D contestação das normas sociais pelo balé. E reforço de uma feminilidade hegemônica.",Linguagens
2020,"Ponto morto A minha primeira mulher          se divorciou do terceiro marido.         A minha segunda mulher          acabou casando com a melhor amiga dela.          A terceira (seria a quarta?)         detesta os filhos do meu primeiro casamento.         Estes, por sua vez, não suportam os filhos          do terceiro casamento da minha primeira mulher.         Confesso que guardo afeto pelas minhas ex-sogras.          Estava sozinho        quando um dos meus filhos acenou para mim no          meio do engarrafamento.         A memória demorou para engatar seu nome.          Por segundos, a vida parou em ponto morto. MASSI, A. A vida errada. Rio de Janeiro: 7Letras, 2001. No poema, a singularidade da situação representada é efeito da correlação entreA a dissipação das identidades e a circulação de sujeitos anônimos. B as relações familiares e a dinâmica da vida no espaço urbano. C a constatação da incomunicabilidade e a solidão humana. D o trânsito caótico e o impedimento à expressão afetiva. E os lugares de parentesco e o estranhamento social.",Linguagens
